transponder_id,loop,utcTimestamp,utcTime,lapTime,lapSpeed,maxSpeed,cameraPreset,cameraPan,cameraTilt,cameraZoom,eventName,recSegmentId,trackedRider
NL37323,L07,1744452354.734,2025-04-12 10:05:54.734000,25.562,,,,,,,Vlaamse wielerschool,L07,
NL37323,L01,1744452356.726,2025-04-12 10:05:56.726000,25.545,,,,,,,Vlaamse wielerschool,L01,
NL37323,L02,1744454160.521,2025-04-12 10:36:00.521000,25.42,,,,,,,Vlaamse wielerschool,L02,
NL37323,L03,1744452361.039,2025-04-12 10:06:01.039000,25.423,,,,,,,Vlaamse wielerschool,L03,
NL37323,L04,1744452366.831,2025-04-12 10:06:06.831000,25.508,,,,,,,Vlaamse wielerschool,L04,
NL37323,L05,1744452371.574,2025-04-12 10:06:11.574000,25.644,,,,,,,Vlaamse wielerschool,L05,
NL37323,L07,1744452380.881,2025-04-12 10:06:20.881000,26.147,,,,,,,Vlaamse wielerschool,L07,
NL37323,L01,1744452383.012,2025-04-12 10:06:23.012000,26.286,,,,,,,Vlaamse wielerschool,L01,
NL37323,L02,1744454187.116,2025-04-12 10:36:27.116000,26.595,,,,,,,Vlaamse wielerschool,L02,
NL37323,L03,1744452387.725,2025-04-12 10:06:27.725000,26.686,,,,,,,Vlaamse wielerschool,L03,
NL37323,L04,1744452393.394,2025-04-12 10:06:33.394000,26.563,,,,,,,Vlaamse wielerschool,L04,
NL37323,L05,1744452398.014,2025-04-12 10:06:38.014000,26.44,,,,,,,Vlaamse wielerschool,L05,
NL37323,L07,1744452406.811,2025-04-12 10:06:46.811000,25.93,,,,,,,Vlaamse wielerschool,L07,
